Replace Part R3 Resistor SMD in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Resistor SMD from AlexChistiakov.SchLib
Replace Part U2 Header 12 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 12 from AlexChistiakov.SchLib
Replace Part U3 Header 12 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 12 from AlexChistiakov.SchLib
Replace Part U4 Power connectors in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Power connectors from AlexChistiakov.SchLib
Replace Part U5 Header 4 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 4 from AlexChistiakov.SchLib
Replace Part U6 Header 4 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 4 from AlexChistiakov.SchLib
Replace Part U7 Header 4 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 4 from AlexChistiakov.SchLib
Replace Part U8 Header 4 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 4 from AlexChistiakov.SchLib
Replace Part U9 Header 4 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 4 from AlexChistiakov.SchLib
Replace Part U10 Header 4 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 4 from AlexChistiakov.SchLib
Replace Part U11 Header 5 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 5 from AlexChistiakov.SchLib
Replace Part U12 Header 5 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 5 from AlexChistiakov.SchLib
Replace Part U13 Header 2 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 2 from AlexChistiakov.SchLib
Replace Part U14 Header 2 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 2 from AlexChistiakov.SchLib
Replace Part U15 Header 3 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 3 from AlexChistiakov.SchLib
Replace Part U16 Header 3 in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Header 3 from AlexChistiakov.SchLib
Replace Part U17 Power connectors in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with Power connectors from AlexChistiakov.SchLib
Replace Part VD1 LED in C:\Users\Андрей\Dropbox\Altium Designer 2018\Right board\Main Sheet.SchDoc with LED from Discrete.IntLib
